Barcode,Lot Ref,Lot No,Cert,Cut,Carats,Col,Cla,Base,Price,Value,P(Disc),PB2B(Disc),Prop,Pol,Sym,Fluo,T.D,Table,Measurement,Cert1 No,P.A,Cr Hgt,Cr Ang,Girdle,P.D
CW0H8IE9,RMK-50A,19,GIA,Round,0.33,D,IF,4100,3198,1055.34,-22,-23,EX,EX,EX,NN,58.9,62,4.56*4.53*2.68,2196113785,41,12.5,33,3.5,43
JW0Z5XM1,RMK-96A,2,GIA,Round,0.3,D,IF,4100,2706,811.8,-34,-35,VG,EX,EX,NN,60.1,60,4.37*4.33*2.61,1199433494,40.6,0.14,34,0.04,0.43
JW0Z5XX3,RMK-98A,7,GIA,Round,0.31,D,IF,4100,2870,889.7,-30,-31,EX,VG,EX,NN,58.8,60,4.49*4.45*2.63,2196432563,40.8,13.5,33.5,2.5,43
